Heure,Voie 1
ms,°C
,
182812,609.91
183014,609.91
183202,609.59
183404,609.59
183607,609.63
183810,609.61
184013,609.61
184200,609.2
184403,609.2
184606,608.93
184808,608.93
185011,608.82
185214,608.67
185401,608.67
185604,608.26
185807,608.26
186010,608.09
186212,608.07
186400,608.07
186602,607.86
186805,607.86
187008,607.6
187211,607.6
187414,607.35
187601,607.39
187804,607.39
188006,607.15
188209,607.15
188412,606.81
188615,607.02
188802,607.02
189005,606.73
189208,606.73
189410,606.41
189613,606.41
189800,606.23
190003,606.21
190206,606.21
190409,605.96
190612,605.96
190814,605.61
191002,605.61
191204,605.61
191407,605.53
191610,605.53
191813,605.1
192000,605.1
192203,604.76
192406,604.82
192608,604.82
192811,604.82
193014,604.82
193201,604.42
193404,604.42
193607,604.05
193810,603.99
194012,603.99
194200,603.97
194402,603.97
194605,603.54
194808,603.05
195011,603.05
195214,603.5
195401,603.5
195604,603.2
195806,603.2
196009,602.73
196212,602.84
196415,602.84
196602,602.88
196805,602.88
197008,602.32
197210,602.17
197413,602.17
197600,602.15
197803,602.15
198006,601.9
198209,601.9
198412,601.58
198614,601.38
198802,601.38
199004,601.28
199207,601.28
199410,601.15
199613,600.83
199800,600.83
200003,600.72
200206,600.72
200408,600.74
200611,600.74
200814,599.93
201001,599.91
201204,599.91
201407,599.97
201610,599.97
201812,599.59
202000,599.57
202202,599.57
202405,599.06
202608,599.06
202811,599.5
203014,599.5
203201,598.99
203404,598.8
203606,598.8
203809,598.69
204012,598.69
204215,598.57
204402,598.27
204605,598.27
204808,597.76
205011,597.76
205213,597.95
205401,597.95
205603,597.37
205806,597.14
206009,597.14
206212,597.27
206415,597.27
206602,597.01
206805,597.12
207007,597.12
207210,596.58
207413,596.58
207600,596.52
207803,596.52
208006,596.33
208209,596.03
208411,596.03
208614,596.03
208801,596.03
209004,595.75
209207,595.52
209410,595.52
209613,595.33
209800,595.33
210003,595.15
210205,595.15
210408,594.96
210611,594.98
210814,594.98
211001,594.47
211204,594.47
211407,594.56
211609,594.37
211812,594.37
212015,593.9
212202,593.9
212405,593.47
212608,593.47
212811,593.79
213013,593.41
213201,593.41
213403,592.81
213606,592.81
213809,592.94
214012,592.92
214215,592.92
214402,592.55
214605,592.55
214807,592.06
215010,592.06
215213,592.26
215400,592.26
215603,592.26
215806,591.62
216009,591.62
216211,591.44
216414,591.15
216601,591.15
216804,591.4
217007,591.4
217210,591.08
217413,591.08
217600,590.63
217803,590.76
218005,590.76
218208,590.23
218411,590.23
218614,590.08
218801,590.08
219004,590
219207,589.82
219409,589.82
219612,589.42
219815,589.42
220002,589.23
220205,589.04
220408,589.04
220611,588.99
220813,588.99
221001,588.59
221203,588.59
221406,588.33
221609,588.52
221812,588.52
222015,588.08
222202,588.08
222405,587.73
222607,587.67
222810,587.67
223013,587.39
223200,587.39
223403,587.29
223606,587.29
223809,586.97
224011,587.2
224214,587.2
224401,586.73
224604,586.73
224807,586.31
225010,586.26
225213,586.26
225400,586.35
225603,586.35
225805,585.92
226008,585.92
226211,585.69
226414,585.45
226601,585.45
226804,585.47
227007,585.47
227209,584.81
227412,584.6
227615,584.6
227802,584.77
228005,584.77
228208,584.52
228411,584.52
228613,584.05
228801,583.88
229003,583.88
229206,583.81
229409,583.81
229612,583.41
229815,583.11
230002,583.11
230205,583.19
230407,583.19
230610,583.17
230813,583.17
231000,582.64
231203,582.28
231406,582.28
231609,582.47
231811,582.47
232014,582.19
232201,581.87
232404,581.87
232607,581.68
232810,581.68
233013,581.72
233200,581.72
233403,581.19
233605,581.08
233808,581.08
234011,581.02
234214,581.02
234401,580.81
234604,580.57
234807,580.57
235009,580.23
235212,580.23
235400,580.12
235602,580.12
235805,580.06
236008,579.59
236211,579.59
236414,579.33
236601,579.33
236804,579.31
237006,579.18
237209,579.18
237412,578.76
237615,578.76
237802,578.31
238005,578.31
238208,578.61
238410,578.23
238613,578.23
238800,577.73
239003,577.73
239206,578.1
239409,577.65
239612,577.65
239814,577.24
240002,577.24
240204,577.01
240407,577.01
240610,576.9
240813,576.6
241000,576.6
241203,576.41
241406,576.41
241608,576.24
241811,576.26
242014,576.26
242201,575.84
242404,575.84
242607,575.45
242810,575.45
243012,575.5
243200,575.3
243402,575.3
243605,575.01
243808,575.01
244011,574.75
244214,574.69
244401,574.69
244604,574.41
244806,574.41
245009,574.11
245212,574.11
245415,573.88
245602,573.85
245805,573.85
246008,573.6
246210,573.6
246413,573.13
246600,573.13
246803,573.11
247006,573.07
247209,573.07
247412,572.79
247614,572.79
247802,572.6
248004,572.6
248207,572.6
248410,572.26
248613,572.26
248800,572
249003,572
249206,571.87
249408,571.74
249611,571.74
249814,571.44
250001,571.44
250204,571.1
250407,571.17
250610,571.17
250812,570.85
251000,570.85
251202,570.61
251405,570.61
251608,570.25
251811,570.12
252014,570.12
252201,569.93
252404,569.93
252606,569.44
252809,569.33
253012,569.33
253215,569.27
253402,569.27
253605,569.01
253808,569.01
254010,568.84
254213,568.52
254400,568.52
254603,568.4
254806,568.4
255009,567.99
255212,567.78
255414,567.78
255602,567.78
255804,567.78
256007,567.42
256210,567.42
256413,567.07
256600,566.84
256803,566.84
257006,566.92
257208,566.92
257411,566.6
257614,566.18
257801,566.18
258004,566.18
258207,566.18
258410,566.16
258612,566.16
258800,565.73
259002,565.33
259205,565.33
259408,565.33
259611,565.33
259814,565.39
260001,564.6
260204,564.6
260406,564.66
260609,564.66
260812,564.6
261015,564.6
261202,564.07
261405,563.9
261608,563.9
261810,564.09
262013,564.09
262200,563.77
262403,563.41
262606,563.41
262809,563.13
263012,563.13
263214,563.39
263402,563.39
263604,562.81
263807,562.55
264010,562.55
264213,562.38
264400,562.38
264603,562.23
264806,562
265008,562
265211,561.53
265414,561.53
265601,561.79
265804,561.79
266007,561.62
266210,560.87
266412,560.87
266600,560.78
266803,560.78
267005,560.89
267208,560.46
267411,560.46
267614,560.19
267801,560.19
268004,560.21
268207,560.21
268409,559.93
268612,559.5
268815,559.5
269002,559.16
269205,559.16
269408,559.23
269611,559.1
269813,559.1
270001,558.5
270203,558.5
270406,558.5
270609,558.5
270812,558.44
271015,558.16
271202,558.16
271405,557.91
271607,557.91
271810,557.63
272013,557.37
272200,557.37
272403,557.31
272606,557.31
272809,556.9
273011,556.9
273214,557.01
273401,556.73
273604,556.73
273807,556.33
274010,556.33
274213,556.09
274400,556.09
274603,556.2
274805,555.92
275008,555.92
275211,555.45
275414,555.45
275601,555.22
275804,555.28
276007,555.28
276209,554.96
276412,554.96
276615,554.52
276802,554.52
277005,554.69
277208,554.52
277411,554.52
277613,554.05
277801,554.05
278003,553.73
278206,553.96
278409,553.96
278612,553.53
278815,553.53
279002,553.34
279205,553.34
279407,553.09
279610,553.09
279813,553.09
280000,552.7
280203,552.7
280406,552.4
280609,552.3
280811,552.3
281014,552.21
281201,552.21
281404,551.74
281607,551.74
281810,551.51
282013,551.7
282200,551.7
